"","Country","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Gabon","Gabon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1077844,1.0150889,1.3675957,1.4324019,1.4405328,1.5502304,1.3035382,0.6795803,0.7807093,0.6684745,1.0297015,NA,1.8771331,1.6036275,2.2868032,2.4476407,2.5535866,2.2554942,2.859047,3.9959277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8014522,1.7939521,1.7831703,1.6683279,1.6131662,1.2486822,1.2826192,NA,NA,NA,1.8716226,1.4624342,1.6198046,1.6040472,1.1448184,1.1850256,1.4475426,1.8104895,1.5487228,1.5809017,1.7102611,1.7100361
"Gambia, The","Gambia, The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.340909,0.4775016,0.5512259,0.563939,0.6310866,0.8105313,0.9583923,0.461266,0.5042433,0.4096505,0.2792198,0.2555575,0.3046157,0.3973075,0.4075759,0.3848338,0.3258331,0.3157936,0.2348621,0.2443808,0.2273886,0.1926214,0.2770274,0.2602424,0.3553184,1.0989842,0.4892836,NA,NA,0.7896135,0.7544943,1.1875091,1.0088585,NA,NA,0.702928,0.8102457,0.8282821,0.7486514
"Ghana","Ghana",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0035162,1.0308261,1.706659,2.1030043,2.001003,2.0163488,1.9219887,1.7326057,2.226614,NA,2.6558824,2.5012506,2.1181939,1.7013195,1.4298401,1.3649343,1.5815451,1.7149347,1.5668097,1.2532473,0.8512818,0.6463043,0.7735748,0.7411135,NA,0.3411795,0.5932119,1.0004431,0.9005168,0.8926273,0.4378805,0.4308465,0.2765104,0.368975,0.3773472,0.4219516,0.4265867,0.4660927,0.3935408,0.4054286,0.471706,0.4717952,0.627279,0.373923,0.3683538,0.4285128,0.3897773,0.3674593,0.371043,0.5092499,0.3984446,0.4553524,0.3806777,0.5922598,0.8041653,0.5333964,0.6789985,0.5265142,0.3823799,0.401629,0.4196603,0.4419361,0.4461562,0.4921006
"Guinea","Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9023576,0.7938283,0.6391086,NA,NA,NA,NA,NA,NA,NA,NA,2.3805543,1.6946406,1.3407094,1.3561169,NA,NA,1.1728193,1.2549918,1.5951311,1.5346375,3.1002105,3.3246802,2.4411814,2.2285644,NA,NA,NA,NA,NA,NA,NA,2.2865982,2.3496068,2.2402195,2.5177353,1.8820538,1.7681225,1.6368142,1.4451357,1.4388994,1.4845411
"Guinea-Bissau","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00869458,0.0134783,0.015024,0.0109031,0.0243964,0.058087,NA,0.181085,NA,NA,NA,NA,0.317965,0.4955681,0.5665931,0.6505212,1.4047619,NA,2.6280304,1.6267268,1.5586029,1.5754231,NA,2.0648367,NA,NA,NA,1.6623848,2.0175261,1.5950591,2.4755946,2.0760181,2.0380235,1.6259612,1.3354096,1.4245786,1.4853695,1.6527943,1.7361526,1.7826387
"Kenya","Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2064897,0.5898876,0.9903348,1.1332685,1.3049937,1.2183429,1.0800691,1.0574833,1.2277151,1.5418118,1.659278,1.7770026,1.8789026,2.484743,3.7401755,5.1992922,5.5016058,4.5153198,4.2253248,4.5727832,4.1952339,3.4769125,2.3757575,2.5035753,3.1337435,2.9455534,2.7408517,2.888215,2.3542581,1.9007468,1.8377416,1.6412528,1.6467162,1.4179547,1.3406386,1.2201225,1.1869741,1.313742,1.5047549,1.6324078,1.6500998,1.6141942,1.690587,1.4551774,1.5479123,1.6158503,1.561448,1.5551379,1.541419,1.666389,1.5619099,1.3329027,1.3180703,1.3487398,1.289111,1.2664088,1.1676914,1.1139327,1.1191091
"Lesotho","Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5517913,1.4381321,1.5056083,1.8512075,3.1585366,3.3115104,4.3577367,4.0130568,3.9791438,4.3140991,4.8399873,4.1813131,3.3697552,4.3077147,3.550476,2.888847,2.7064535,2.4754727,2.7411224,3.2418894,2.8246737,2.7121773,2.8519285,3.5624512,3.2849261,2.744178,2.516393,2.3690009,2.1316629,2.0492596,2.074225,2.0812227,1.4536423,2.4753919,2.8483852,2.0423637,1.9349228,1.8233886,1.7680968,1.7334281,1.7794988,1.9530556,1.7886029,1.6225202,1.6195645,1.2871875
"Liberia","Liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1774967,1.1451943,1.1685824,1.1018786,0.9934853,1.098731,1.1859444,1.1002445,0.9689922,0.9342916,0.952381,1.0725658,1.1515602,1.240937,1.1546493,1.4917515,3.1128175,5.0179419,4.7060967,2.9404832,2.9543052,2.8953627,2.2872122,2.407782,NA,NA,7.183908,10.1342282,18.9837905,29.7276853,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6343517,0.8564421,0.476174,0.3110752,0.4979522,0.6517498,0.8167389,1.058785,1.1820274,1.0812368,1.0325292,1.0514981,1.0626383,0.9400093,0.938216,0.9403053,0.914742,0.9512946
"Madagascar","Madagascar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5021521,1.5373134,1.4603699,1.45875,1.5908544,1.5422749,1.5500259,1.5462185,1.5072464,1.351243,1.3165736,1.4881933,1.5238575,1.6706892,1.6371457,1.8802096,2.3071993,2.419852,2.9272391,2.7689185,2.9784537,NA,NA,1.8731563,1.7800549,1.5519354,1.4290401,1.3471834,1.2108653,1.231511,1.2963491,0.7699219,1.122324,0.9264735,0.859888,1.2376344,1.4819124,1.3489275,1.2102292,1.2175139,1.4358476,1.3131616,1.3247573,1.2482267,1.0719415,0.9774312,1.1158647,1.0971153,0.8302029,0.6520425,0.7277071,0.6919117,0.6779837,0.6527994,0.6047965,0.5940033,0.5800223,0.6056861,0.623972,0.7386798,0.7700343
"Malawi","Malawi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7019978,0.6457926,0.7169374,0.6954303,0.6679624,0.6411456,0.5815169,0.6021999,1.0604396,0.9669556,1.5268076,1.373366,1.6899038,2.6945173,4.0659341,4.2931052,3.1111813,2.2869649,1.8164103,1.559535,1.7511183,2.0954678,1.8288064,1.5113081,1.4970709,1.3086057,1.0757301,1.402486,1.2629754,1.4218801,0.7905592,0.8834681,0.9915561,0.8136398,0.8110145,0.6726388,0.738822,0.4238229,0.4087925,0.6318681,1.0452616,0.7776515,0.757952,0.835637,0.9497046,0.718201,0.6597285,0.7656307,1.1401853,0.8177259,0.634771,0.6419605,0.7646428,0.8470258,1.1003421,1.0675741,0.9489696
