"","Country","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Bolivia","Bolivia",NA,NA,NA,NA,0.5275473,NA,0.3168843,0.3558946,0.8186111,NA,NA,NA,1.203464,1.1587,1.326412,NA,NA,NA,NA,1.3501522,1.3182249,1.6122165,1.3915858,1.5955419,1.6226362,1.8366541,2.3712371,2.3671566,2.2474994,2.5989701,2.7084611,3.1723999,3.9022033,1.9818473,1.4993207,2.1708417,2.0139925,2.3455492,2.3772632,2.0209813,2.1562887,2.8158833,2.6883249,2.5061188,1.9163498,2.2503012,2.0961623,1.9868075,2.2736103,2.6911109,2.1332871,2.0629712,2.3204479,1.9903347,2.1454851,1.8965037,1.7170044,1.466227,1.4890476,1.9617804,1.7613644,1.7079104,1.6841227,1.8456064,1.8412403,1.896915,1.7594359,1.5304678,1.5364274,1.4969023,1.4512709,1.3190746,1.5444583
"Brazil","Brazil",NA,NA,NA,NA,3.5955056,NA,NA,NA,4.4035211,4.0675208,2.9633633,2.6791347,2.3640662,2.3986833,2.2608392,2.0144981,3.3520922,3.0219816,2.856972,2.6497402,2.61559,2.8872896,2.6190469,2.435812,2.1546513,1.9413534,1.9721438,2.0027534,1.6877265,1.5996716,1.5219317,1.1384344,1.1431488,1.3035344,1.2545803,1.199541,1.4295231,1.2203887,1.743994,2.1180722,2.68625,2.363841,1.9633333,1.5215289,1.9279228,2.0160078,1.862137,1.6548435,1.5776883,1.6622919,1.6454747,1.7307261,1.9518824,1.8957712,1.5034776,1.4612684,1.5240134,1.4810849,1.4662921,1.4419241,1.5386257,1.539407,1.4118512,1.3786565,1.3294461,1.3302444,1.3655172,1.3479754,1.4144856,1.4696777,1.3794569,1.3554702,1.1908098
"Chile","Chile",NA,2.6396998,3.0695561,2.5730773,2.7800069,1.6909668,2.3,2.3,3.05,2.7,2.15,3.1184056,3.5274473,3.0437091,2.8653957,2.6351866,2.8857127,2.7359209,2.7136326,2.5270682,2.2609,4.4504506,6.2648154,6.6254142,6.2838209,7.1095612,6.7425367,6.0850508,6.9152448,6.7281223,6.3325563,6.4820929,7.0221189,8.8772677,7.5752226,7.6054062,6.9006086,6.2880022,5.6380711,4.1399961,3.5900295,3.4016549,2.8498428,2.6285105,2.7069229,2.597545,2.5620646,2.4493209,2.4982019,2.5898372,2.7136316,2.703282,2.6674952,2.5520931,2.7338432,2.7079751,2.5215029,2.4908318,2.3188022,2.5840105,2.2636079,2.2394683,2.2543957,2.0462904,1.9864195,1.9585267,1.8984873,1.9153887,1.9359011,1.8639278,1.8566687,2.0890154,1.9633591
"Colombia","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3545907,1.8308668,1.8843235,2.1432563,3.0994152,3.5151404,3.1808036,3.1909469,3.1652448,3.1173646,2.3853725,2.0549242,2.2595466,3.3741741,1.9671958,1.6902451,1.5757801,1.7402681,1.4936029,1.4384872,1.5503194,1.6739288,1.8301216,1.7551204,1.713851,2.2199375,2.325895,2.0540166,1.9446196,1.9831354,2.1992448,2.1881838,1.8601593,1.8534818,2.1066779,2.525267,2.508407,2.8316266,4.4453933,2.8017879,3.4409857,3.7627421,3.0316835,3.3238728,3.4171276,3.4639887,3.4650152,3.3528734,3.2761306,3.2667397,3.7446064,3.8853539,3.6427556,3.0816136,3.1589602,3.274401,3.1082588,3.1099601,3.071131,3.2090624,3.0621055,3.140734,3.4994593,3.401894
"Ecuador","Ecuador",NA,NA,NA,NA,1.9415918,NA,NA,NA,2.4112944,2.2822929,1.9026753,2.3762368,2.046767,2.0454538,1.7652123,1.909954,2.0695652,1.8242215,1.8044233,1.9239735,2.3706163,1.8336897,1.8540252,1.9900232,1.9765704,2.01589,2.366809,2.2006877,3.0803722,2.1427265,1.9874937,1.7812247,1.6778403,1.6540028,1.5747783,1.4852323,1.7797386,1.8373868,1.9663161,1.9776268,1.9239892,1.8903238,1.7783602,1.6672066,1.8214215,1.5593435,2.3413201,1.9503975,2.1041712,2.3572349,1.751925,1.452076,1.569376,1.768892,2.2785534,1.9403328,2.2984028,2.0298259,2.5682358,2.6650417,3.1174181,3.0105513,3.0951101,2.9454529,2.8758907,2.7392308,2.6160742,2.5147668,2.3612634,2.3518872,2.1836324,2.5315406,2.455712
"Guyana","Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6459627,2.8505747,6.9581056,8.3526012,6.0745829,3.8908451,3.7150127,3.7002653,3.9448967,5.126556,4.5163488,4.6747059,8.4368635,5.3558559,3.0860888,2.663766,1.5837367,0.9058283,0.5828928,0.9696923,0.9509522,1.0059367,0.9155204,0.7878309,NA,NA,NA,1.7659772,2.0179456,2.2932867,2.1997168,2.8093248,1.4104858,1.3148836,1.4348918,1.5874597,1.5331883,1.3754369,1.2581277,1.1721763,1.1769473,1.276332,1.4522133,1.4764769,1.6503977,1.59332,1.6041788,1.3901586,0.9565162
"Paraguay","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5289645,2.2791497,2.2973921,2.3988542,2.4037658,2.6330877,2.9168451,3.031559,3.2110496,3.161486,3.3158723,3.2252255,3.8464631,3.4174372,2.5645724,3.1250036,2.9899565,2.8886447,2.9585323,2.0263983,2.1814492,2.5278602,3.8032976,3.6452418,3.5081852,3.7576348,3.8040656,2.7731923,3.1954734,2.4257638,2.1318759,2.829327,2.36889,2.1785477,2.0467664,2.2834246,2.0637899,1.6856803,1.5431537,1.3887679,1.2449395,1.0746348,0.9712369,0.8257554,0.8776301,0.7214804,0.7934551,0.7414368,0.6841935,0.7539507,0.7511464,0.8456238,0.9641791,0.9620634,0.9890892,1.0688478,0.9509533,0.8926632,0.9611562,0.9743129,1.0207137,0.9739598
"Peru","Peru",2.9040197,2.832057,2.9186935,2.6569357,2.7775325,2.691173,2.7680448,2.9817239,2.9218949,2.8969028,2.7964736,2.5080013,2.6447574,2.4250681,3.3163914,3.3402275,3.0983464,2.8435673,4.7036329,2.3573735,2.3875598,3.5064396,3.6195159,3.630811,3.9253898,3.9329609,5.216285,5.676913,8.214387,6.1997019,3.3524355,4.5590682,3.9848197,5.1126516,4.8459564,3.3575581,3.8701491,3.3492955,3.411496,2.185201,2.1904762,2.6823788,2.0198159,2.507035,2.7461025,2.4741979,2.6353241,2.5020266,1.99677,2.0166613,1.9306307,1.7889668,1.7520201,1.5418402,1.5094995,1.3822235,1.6047277,1.4691516,1.3039383,1.2347506,1.5216442,1.4630953,1.3773733,1.4818039,1.63534,1.5906008,1.7309106,1.3047844,1.2463128,1.1749864,1.1927732,1.3504759,1.1151565
"Uruguay","Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1980676,3.7641546,4.5314562,4.2860642,3.4815635,3.7459202,3.6210799,3.8004338,4.6961086,6.2554613,6.4493069,5.381984,4.5756458,4.3042206,4.1212802,3.0394222,3.1566469,3.5291267,3.5274017,2.3947122,2.8495148,2.7923985,2.5777056,2.7146367,2.8059384,2.3997207,2.2581337,2.394461,2.4359773,2.5025777,2.5301401,2.2375453,2.040728,2.0003859,2.0061781,1.7771671,1.8695247,1.8226134,1.8758079,1.7197489,1.8036698,1.8165513,1.8074295,1.8205881,1.8734638,1.9569229,2.1339486,2.059819,2.1776723,2.2563065
"Venezuela","Venezuela",NA,NA,NA,NA,NA,NA,2.5765705,2.754902,3.2164724,3.4331272,2.9582094,3.0580444,1.4222222,2.3129021,2.5535881,2.4466891,2.6364355,2.6568826,2.8585155,2.6773762,2.4989229,2.2940164,2.6994079,2.8292683,2.4709898,2.3077608,2.5910246,1.8874907,2.0679468,2.1057613,1.9158564,1.6955153,1.5216858,2.2487726,2.9707401,2.2920518,1.369619,1.6499705,1.6336983,1.8161051,2.7935969,1.5180366,1.8403353,1.6434789,2.1452539,1.5907469,1.5490622,1.0394834,1.7952851,1.5885552,1.437199,1.5265701,1.5551079,1.1533736,1.1826906,1.2883018,1.8317137,1.9784922,1.8889931,1.7935529,1.2310704,1.0134886,1.1304053,1.3414717,1.6695518,1.1618168,0.941376,0.454046,2.2333322,0.1508539,0.1792304,NA,NA
"Australia","Australia",NA,2.8779015,3.7350598,5.1805958,4.7998604,3.968254,3.859614,3.670699,3.3172139,3.2545605,3.1032886,2.3695451,2.4151399,2.3636954,2.4466346,2.6482428,2.952293,3.4513829,3.793764,3.8372736,3.3859199,2.9660356,2.7631517,2.6856206,2.3793468,2.2628027,2.2673156,2.2166121,2.2472022,2.2156886,2.1927294,2.2489569,2.2966019,2.3932652,2.5198118,2.5052337,2.5232684,2.5404298,2.3729888,2.1618149,2.0518275,2.0759059,2.1680429,2.1687461,2.1780299,2.1165986,2.0213126,1.9304401,1.8673344,1.8711218,1.8892357,1.8298419,1.8700939,1.8739646,1.8462897,1.8274108,1.8024927,1.8223309,1.8153422,1.7985472,1.926909,1.8567914,1.7570782,1.6710114,1.639708,1.77228,1.9509185,2.0844969,1.999208,1.8901121,1.8740256,2.0117883,1.9784225
"Fiji","Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1876955,0.2170835,0.2488515,0.2187408,0.2422222,0.3004979,0.3961508,0.5075758,0.873095,0.9388569,0.8620514,0.9194205,1.1549678,1.2414208,1.2226079,1.1331579,1.0439618,1.9695275,2.0520151,2.2701066,2.1087553,2.1667883,1.8404141,1.8085593,1.7026373,1.6257874,1.4242463,1.3649596,1.2591889,1.1318063,1.7562434,1.8245837,1.5485667,1.4865009,1.583876,1.3235946,1.608599,2.04892,1.4040434,1.6492522,1.4817492,1.4866161,1.3763575,1.2801815,1.5397676,0.9101464,1.103793,1.4048442,1.4676069,1.4553506,1.7185325,1.6506275
"New Zealand","New Zealand",NA,NA,NA,NA,NA,NA,NA,3.1087584,2.858427,2.8252908,2.8172844,2.6907332,2.485627,2.3099366,2.198289,2.4728337,2.3555584,2.6392671,2.623715,2.7276826,2.5662252,2.6320302,2.3167006,2.1832679,1.9730405,2.0653789,2.0847617,1.9360329,2.1158985,2.2098714,2.1596363,3.0227905,2.7293751,2.5828584,2.4383593,2.3776242,2.3646261,2.367587,2.4072767,2.0787082,2.1499297,2.3277797,2.2563367,2.0693662,1.8991238,1.8287081,1.8153478,1.7818815,1.7039708,1.6952802,1.619342,1.6687421,1.5813014,1.4544098,1.4431392,1.3417807,1.2770934,1.3855218,1.2720143,1.2460722,1.3532834,1.3296365,1.2460897,1.1969624,1.1411864,1.1396318,1.1110712,1.1276231,1.1403867,1.2099789,1.3910401,1.4517351,1.3709807
"Papua New Guinea","Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6035857,1.6312588,1.2500886,1.2664495,1.2103096,1.4030832,1.4096386,NA,NA,NA,1.5588783,1.5649331,1.6107832,1.266286,1.4965361,1.4191337,0.9246859,0.8903513,0.9174582,1.0132053,0.7755161,1.0173114,1.0753538,0.8792203,0.6913945,0.6391077,0.5472949,0.3716379,0.3457632,0.3891225,0.4166378,0.37692,0.4116026,0.3370145,0.447943,0.3251445,0.3569251,0.5194717,0.4943316,0.487315,0.4837581,0.4176198,0.4032211,0.3762168,0.4110734,0.4166469,0.3752614
"Afghanistan","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6296061,NA,NA,1.8689103,1.6108247,1.7220657,2.046087,2.0114748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4312579,1.9920657,1.896234,2.5662674,2.3355457,2.0874126,1.9458357,1.8213455,1.1754161,1.0769498,1.2980129,0.9945758,0.9567721,0.9452268,1.0067463,1.1182306,1.3588569,NA
"Bangladesh","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6567205,0.6043035,0.8447833,1.523679,1.5699778,1.2689852,0.934293,0.8574209,0.9158317,1.0608697,1.2706737,1.178042,1.0542728,1.1121917,1.1682325,1.2463881,1.2908618,1.223165,1.2144228,1.3605031,1.4293905,1.5290237,1.5666931,1.5390736,1.5716679,1.5675352,1.5848344,1.3571192,1.2884228,1.1857644,1.1382869,1.1235059,1.0908944,1.1082388,1.1144802,1.0595299,1.1567309,1.3208374,1.3555178,1.3244195,1.2581975,1.2794125,1.3509699,1.3723215,1.2402561,1.2639998,1.3489067,1.3018629,1.2697767
"India","India",NA,NA,NA,NA,NA,NA,NA,2.0200491,2.475,1.9224897,2.1360717,2.0040123,2.0743597,2.7454004,4.025306,3.819237,3.8714149,3.5723706,3.2239237,3.2455686,3.1408146,3.185183,3.6524535,3.7179475,3.1586438,3.2028263,3.5345988,3.4778831,3.1627719,3.1263317,3.2613287,3.1337813,3.1862481,3.3451177,3.3230687,3.4168756,3.5690303,4.1064687,4.2313175,3.7286718,3.5341797,3.1462146,2.9099743,2.7048397,2.8235422,2.6646737,2.5784836,2.4727682,2.6477324,2.7273114,2.9571956,2.9489299,2.9244355,2.8268668,2.6777769,2.8287522,2.7549077,2.5268086,2.4782482,2.6314621,3.1293872,2.8894613,2.7044836,2.6181676,2.5488257,2.5439825,2.4574506,2.5431512,2.5314626,2.4339221,2.5191208,2.8846328,2.65779
"Nepal","Nepal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5930193,0.6179106,0.6475563,0.657681,0.6072365,0.6821728,0.8562612,0.8921431,0.8584643,0.9112057,1.0320757,0.9920533,1.089454,1.252925,1.2206144,1.1958272,1.1828507,1.159182,1.0837906,1.1065431,1.0771544,1.0966096,1.0746898,1.0505526,0.9733154,0.9414851,0.9007163,0.8807078,0.9270555,0.9473696,0.9621503,1.0983344,1.44765,1.5922511,1.7932924,1.9291614,1.7491099,1.5473939,1.5999717,1.6454486,1.5636664,1.5406516,1.4318324,1.5418601,1.6293411,1.5566301,1.7008977,1.7085445,1.539234,1.3765793,1.3995729,1.3369919
"Pakistan","Pakistan",NA,NA,NA,NA,6.31677,5.3536749,5.5737476,5.0250787,4.1727379,4.2530326,4.3356168,4.3126626,4.0978906,3.6558728,3.648413,3.8658901,5.9046679,6.730522,5.4046037,5.103906,5.5120419,6.1583876,6.7355332,6.8659555,6.2106427,6.0909963,6.3215202,5.889472,5.5474117,5.5032997,5.4532743,5.5232445,5.7108706,6.3757171,6.6437981,6.6594915,6.9221336,6.991656,6.9718801,6.7858107,6.5327253,6.5223202,6.5709528,6.6981875,6.4273126,5.9235483,5.8202253,6.0371663,5.6212165,5.415095,5.1898993,4.1687227,3.8789339,4.0737702,4.0914272,3.9560341,3.8970194,3.6452552,3.5119861,3.459371,3.265224,3.423691,3.2856508,3.4843988,3.4709725,3.4765794,3.5513872,3.5947455,3.7744489,4.1291314,4.1088164,4.0317426,3.8332741
"Sri Lanka","Sri Lanka",NA,NA,0.2454847,0.3377038,0.4489082,0.6714028,0.5452033,0.6770059,0.9118067,1.2401011,1.230568,1.1830524,1.1832727,1.0828551,0.8977919,0.8517259,0.8526101,0.8729159,0.8451367,0.7945321,0.8073963,0.9166423,1.3626335,NA,0.8748098,0.7950864,0.8035896,0.6592391,0.6843739,0.8030001,0.8344627,0.7657793,0.6267984,0.5447409,0.8891374,0.9224305,3.1607698,2.696658,3.3931467,2.3711832,1.7985954,2.3284874,3.0820878,3.3676399,3.4317857,3.7293381,5.8611322,5.5197832,4.6306021,4.6434641,4.0301638,5.033873,4.2869906,3.3425894,2.8689118,2.9973585,2.6395334,2.7987736,3.2606084,3.2436018,3.1618987,2.7007478,2.6831577,2.1551995,2.1540482,2.412647,2.553055,2.1141424,2.1196966,1.8429775,1.8458448,1.8786834,1.8755388
"China","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4471013,2.4540161,2.3112434,2.4495421,1.9280669,1.6934796,1.6862339,1.6527267,1.6326507,1.6550807,1.8714659,1.8303437,1.976186,2.0496861,1.9834063,1.927765,1.8533424,1.8546488,1.7398129,1.7123344,1.8861332,1.7394752,1.6655761,1.6933682,1.7028551,1.7286891,1.7507178,1.7706957,1.7464551,1.7395337,1.7278279,1.7988335,1.7363405
"Japan","Japan",NA,NA,NA,2.0709345,2.0310718,2.1931512,2.1028735,1.7458768,1.496551,1.4321867,1.2641866,1.0805949,0.9166602,0.8829816,0.9029116,0.8750461,0.899714,0.879421,0.8362303,0.7938665,0.772551,0.7732303,0.8241193,0.8424753,0.8150145,0.8620683,0.9073871,0.8916511,0.8906811,0.8912864,0.9073921,0.9067942,0.9166482,0.9263756,0.9522974,0.9584042,0.9593979,0.9628113,0.9655109,0.9497089,0.940781,0.9417918,0.9408219,0.9483124,0.9506638,0.9228718,0.9168766,0.9112471,0.9204379,0.9385948,0.9452483,0.9311362,0.9470799,0.9558347,0.9556739,0.9416076,0.9315817,0.917197,0.8976267,0.9202478,0.9837774,0.9588511,0.9868065,0.9674273,0.950866,0.9669993,0.9592513,0.9295168,0.9132295,0.9632597,0.9925253,1.0299381,1.0735152
"North Korea","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Korea","South Korea",NA,NA,NA,NA,2.3628692,5.8536585,6.2422635,8.3277815,6.7961165,7.4274471,7.6388889,7.1575483,6.7261496,6.8671964,4.8238591,4.1344396,4.4104749,4.6888737,4.6851425,4.7306418,4.6943949,4.4033465,4.7349886,5.0100681,4.0347322,4.5414456,4.8787165,5.9081557,6.0349391,6.3714506,5.5258766,6.3987721,6.4158573,6.2408945,5.7268136,5.2545354,5.2255317,4.9482563,4.4686056,4.2812159,4.2902353,4.0023043,3.7111278,3.6902727,3.4178948,3.1927527,2.892333,2.7434797,2.6633878,2.794442,2.4925772,2.4573175,2.4278777,2.3154744,2.3286646,2.3310649,2.4672827,2.4883687,2.4696389,2.4894028,2.6035141,2.4627192,2.4729556,2.4992999,2.503009,2.5299358,2.4949812,2.4595779,2.4214889,2.4968436,2.6584959,2.77811,2.7770196
"Mongolia","Mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8338851,6.3412434,6.2511951,4.2813854,3.2315351,1.9094372,1.7123627,1.6543556,1.6205059,1.7769474,1.6387348,1.9065375,1.8350123,2.0224806,1.7816584,1.7955672,1.5096943,1.3827301,1.0172859,0.9616567,1.0532722,0.8233067,0.6296982,0.7629972,0.8372702,0.9243056,0.8223115,0.8597253,0.8658413,0.8634952,0.7653009,0.7309212,0.7076095,0.7653102,0.655433
"Taiwan","Taiwan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2363148,6.9176738,7.0192783,7.5844539,7.2900419,6.6480411,6.9903229,6.3363909,5.725781,6.0922425,5.4433719,4.9327915,5.1447742,5.2813352,5.2228785,4.9663967,4.6930555,4.955411,4.6614003,4.1072648,4.0197397,3.7236557,3.2911778,2.8751851,2.6000055,2.6559797,2.4380014,2.3454591,2.2472778,2.131117,1.9674388,1.9982009,2.1473734,2.3260909,2.0376494,2.0582999,2.1165295,1.9427815,1.8477061,1.8664576,1.8208169,1.8233979,1.742969,1.8151296,1.8801433,1.7428234
"Brunei","Brunei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5740844,2.8877881,4.6707298,3.792515,6.6299771,6.2104363,6.4377353,6.4043501,6.2451448,5.7402317,5.9824714,5.477266,6.2494938,7.1839646,7.5298439,6.1304184,4.0692055,3.8863976,3.8707828,3.7114196,2.5327301,2.3494276,2.3039632,2.3801522,2.2617924,2.941072,2.8504879,2.2422414,2.1590345,2.2775076,3.086861,3.2792905,3.5393847,2.8651699,2.6366125,3.0786421,4.0808783,3.2622296
"Cambodia","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1468509,1.5742453,1.2782036,1.9924536,2.0713756,2.3278966,3.145933,1.7612895,3.8423429,3.5773106,3.2384546,3.0033612,2.6620479,2.5100291,2.2098132,1.7748105,1.5196174,1.4475189,1.2967422,1.1275791,1.0431001,0.914612,0.7982175,1.313128,1.4930969,1.4977887,1.5470416,1.5965737,1.6630695,1.8016226,1.9098836,2.0713835,2.2248524,2.2285613,2.4454666,2.3163644
"Indonesia","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7059208,3.492189,3.4218676,3.2060892,3.1631935,3.0202589,2.9172177,2.884622,2.9019283,2.3981294,2.2854203,2.1705994,2.0097654,1.7221877,1.5308411,1.3891363,1.4104929,1.3240642,1.356876,1.2235578,1.2661556,1.2263099,1.2643925,1.4977417,1.0191168,0.8108127,0.6844838,0.5727927,0.7001202,0.909285,0.9457146,0.7507894,0.6587028,0.7123619,0.5789458,0.5711339,0.6175871,0.6537767,0.7115495,0.9187698,0.7778552,0.8822667,0.7922202,0.8651914,0.7189497,0.7285046,0.8597888,0.6959259
"Laos","Laos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6753124,8.1075113,7.5220041,5.8341956,4.1867068,3.839007,2.5942173,1.0577426,0.7915432,0.7171152,0.5839349,0.4921569,0.4337253,0.3925086,0.3431627,0.3121738,0.2738209,0.2171948,0.2045671,0.2121266,0.1994551,0.1898952,NA,NA,NA,NA,NA,NA,NA,NA
"Malaysia","Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,3.7456106,4.0645425,3.0758097,2.6764405,2.2329097,2.187041,2.4206143,3.163552,4.0110497,4.7282552,4.4970293,4.4531633,3.9222678,5.1652718,5.3724431,4.978903,3.8722427,4.1823432,4.7241626,3.9807727,4.8546691,3.7111334,3.6705153,4.2301343,5.7851527,5.3676153,4.4233718,3.752357,3.4516587,3.2237338,4.1474995,2.4261124,2.6237017,2.5554035,3.1992836,2.9864217,2.8752454,2.8471153,2.7513451,2.4005644,2.0855587,1.6053353,2.1014816,1.6346755,2.0849228,2.2191314,2.6148067,2.263062,2.173929,2.0075974,1.9585025,1.8248438,1.8714869,1.4902101,1.5528531,1.4133307,1.4992958,1.434733,1.5038987,1.3843356,1.1008647,0.9606653,0.8949552,1.0070319,1.0579937
"Myanmar","Myanmar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1234605,5.6907115,6.8471406,6.0223456,6.6956208,6.1255794,5.2017985,5.0231972,5.3104288,5.601945,5.6512254,5.4516404,5.1139456,4.0210875,3.7749712,3.7937069,4.0397731,3.9213836,3.5575807,3.4221296,3.4568204,3.2182607,3.0703691,2.9236711,2.9782636,2.8791421,1.9724009,2.1408523,2.9591067,3.3958905,3.1710046,3.3545179,3.5231086,3.5411211,3.6848324,3.4934279,2.3137224,2.0089012,1.7313834,2.0011992,1.5625615,1.1275082,1.6704623,1.657227,1.3546012,NA,NA,NA,NA,NA,NA,3.8993658,4.0444939,3.789506,4.3013674,4.0865629,3.6489321,2.307457,2.1462132,2.9545908,3.3349398
"Philippines","Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9587457,1.8391331,1.7784589,1.702908,1.8088158,1.8558622,1.7049425,1.5491999,1.6517271,1.7399394,1.8674718,2.0908885,2.1567565,2.0699906,2.3361569,2.8138049,3.5580393,NA,3.9313383,3.621309,2.5817672,2.9649311,2.7097547,2.755721,2.5972879,2.4092534,1.6347589,1.9825734,1.9880536,1.9652471,2.4588892,2.2429234,2.1472467,2.0107211,2.0364616,2.1575356,2.1724466,2.2941315,2.2684077,1.9144614,1.6972934,1.6157758,1.6082266,1.4713788,1.4738902,1.5508448,1.3606265,1.3317953,1.3151639,1.2914259,1.2503291,1.2023234,1.1701322,1.1534146,1.1067042,1.1895017,1.0431271,1.088463,1.0455851,1.2470771,0.8195847,0.9202631,1.0124239,1.0378475
"Singapore","Singapore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.399081,5.6417031,5.0858079,4.704631,4.2941723,4.649257,5.044361,5.6771617,5.1952373,4.6520155,4.6368614,4.7413552,4.6511902,4.0714686,4.6988154,5.6566129,5.4425116,4.8706115,4.5478653,4.4928983,4.6321445,4.4483567,4.4713686,4.0917649,3.7914351,4.1787979,4.253314,4.4500365,5.211053,5.207354,4.5188863,4.82625,4.9249863,4.8696476,4.4168051,4.2881258,3.9450252,3.6025528,3.8500268,3.8824233,3.3813984,3.1938746,3.1081662,3.0384911,3.0478604,3.0467127,3.0993153,2.9841821,2.8355008,2.7955138,2.9428847,2.9782313
"Thailand","Thailand",NA,NA,NA,NA,NA,NA,NA,NA,3.5759854,3.2486218,3.0147675,2.4652649,2.0976768,2.6285468,2.61604,2.4300254,2.3259193,2.1653679,2.4268169,2.7545602,2.9913666,3.0652985,3.5609764,3.4742474,2.882243,2.6554386,2.7952328,3.131421,3.4817734,3.9237142,4.3809194,4.2444549,4.0631625,4.1203692,3.9533588,4.0644388,4.189115,3.7953282,3.3613866,2.9335011,2.6846671,2.5942502,2.6450248,2.6574229,2.5248245,2.5023834,2.2737824,2.1515251,2.1739225,1.8563683,1.6237976,1.488231,1.4337874,1.3499493,1.242128,1.0798069,1.0482295,1.101162,1.3396977,1.5326887,1.7037548,1.4548079,1.4867042,1.3814116,1.4039569,1.4066366,1.4265819,1.4214401,1.3899544,1.357574,1.3527078,1.4595203,1.3184427
